Date,RTSI Price
2021-03-31,1477.11
2021-03-30,1460.32
2021-03-29,1468.14
2021-03-26,1449.85
2021-03-25,1417.16
2021-03-24,1437.18
2021-03-23,1435.67
2021-03-22,1467.62
2021-03-19,1474.05
2021-03-18,1488.72
2021-03-17,1493.66
2021-03-16,1552.81
2021-03-15,1543.99
2021-12-03,1519.5
2021-11-03,1505.22
2021-10-03,1479.57
2021-09-03,1481.85
2021-05-03,1447.46
2021-04-03,1454.67
2021-03-03,1453.61
2021-02-03,1452.48
2021-01-03,1443.02
2021-02-26,1411.93
2021-02-25,1450.39
2021-02-24,1445.91
2021-02-22,1455.33
2021-02-20,1465.82
2021-02-19,1472.33
2021-02-18,1446.7
2021-02-17,1462.35
2021-02-16,1494.58
2021-02-15,1496.4
2021-12-02,1461.99
2021-11-02,1461.33
2021-10-02,1448.31
2021-09-02,1457.87
2021-08-02,1462.22
2021-05-02,1431.76
2021-04-02,1402.71
2021-03-02,1387.0
2021-02-02,1398.99
2021-01-02,1363.96
2021-01-29,1367.64
2021-01-28,1384.64
2021-01-27,1393.02
2021-01-26,1422.95
2021-01-25,1412.02
2021-01-22,1418.29
2021-01-21,1463.84
2021-01-20,1486.9
2021-01-19,1470.63
2021-01-18,1474.86
2021-01-15,1474.28
2021-01-14,1500.58
2021-01-13,1486.77
2021-12-01,1484.96
2021-11-01,1466.56
2021-08-01,1466.5
2021-06-01,1436.71
2021-05-01,1426.11
2021-04-01,1424.84
2020-12-30,1387.46
2020-12-29,1398.48
2020-12-28,1391.31
2020-12-25,1378.36
2020-12-24,1378.33
2020-12-23,1366.76
2020-12-22,1351.43
2020-12-21,1335.93
2020-12-18,1402.5
2020-12-17,1419.22
2020-12-16,1400.05
2020-12-15,1390.46
2020-12-14,1398.12
2020-11-12,1412.88
2020-10-12,1404.68
2020-09-12,1372.47
2020-08-12,1364.66
2020-07-12,1368.86
2020-04-12,1357.39
2020-03-12,1339.41
2020-02-12,1335.44
2020-01-12,1311.05
2020-11-30,1281.97
2020-11-27,1302.43
2020-11-26,1307.14
2020-11-25,1301.83
2020-11-24,1287.12
2020-11-23,1256.81
2020-11-20,1262.69
2020-11-19,1258.91
2020-11-18,1276.75
2020-11-17,1258.46
2020-11-16,1268.61
2020-11-13,1227.78
2020-12-11,1238.45
2020-11-11,1233.81
2020-10-11,1232.87
2020-09-11,1236.3
2020-06-11,1178.28
2020-05-11,1170.74
2020-03-11,1108.15
2020-02-11,1069.33
2020-10-30,1066.6
2020-10-29,1078.96
2020-10-28,1078.29
2020-10-27,1131.36
2020-10-26,1152.33
2020-10-23,1164.06
2020-10-22,1155.24
2020-10-21,1143.42
2020-10-20,1140.69
2020-10-19,1135.12
2020-10-16,1132.8
2020-10-15,1132.29
2020-10-14,1160.3
2020-10-13,1156.11
2020-12-10,1162.91
2020-09-10,1164.34
2020-08-10,1158.82
2020-07-10,1143.95
2020-06-10,1168.56
2020-05-10,1157.86
2020-02-10,1148.07
2020-01-10,1174.49
2020-09-30,1178.51
2020-09-29,1155.67
2020-09-28,1166.86
2020-09-25,1164.68
2020-09-24,1188.98
2020-09-23,1195.77
2020-09-22,1193.06
2020-09-21,1181.24
2020-09-18,1228.64
2020-09-17,1243.29
2020-09-16,1251.86
2020-09-15,1253.68
2020-09-14,1228.48
2020-11-09,1223.05
2020-10-09,1216.59
2020-09-09,1201.34
2020-08-09,1189.47
2020-07-09,1218.52
2020-04-09,1220.01
2020-03-09,1223.21
2020-02-09,1234.82
2020-01-09,1274.5
2020-08-31,1258.6
2020-08-28,1265.62
2020-08-27,1264.86
2020-08-26,1273.24
2020-08-25,1267.16
2020-08-24,1281.52
2020-08-21,1262.01
2020-08-20,1272.81
2020-08-19,1316.32
2020-08-18,1311.52
2020-08-17,1308.71
2020-08-14,1323.8
2020-08-13,1326.13
2020-12-08,1307.12
2020-11-08,1296.01
2020-10-08,1267.96
2020-07-08,1271.43
2020-06-08,1282.44
2020-05-08,1295.27
2020-04-08,1260.16
2020-03-08,1257.42
2020-07-31,1234.44
2020-07-30,1232.35
2020-07-29,1266.01
2020-07-28,1257.69
2020-07-27,1266.16
2020-07-24,1255.98
2020-07-23,1261.62
2020-07-22,1255.1
2020-07-21,1259.72
2020-07-20,1235.85
2020-07-17,1216.17
2020-07-16,1219.93
2020-07-15,1219.26
2020-07-14,1216.79
2020-07-13,1234.5
2020-10-07,1245.65
2020-09-07,1234.42
2020-08-07,1245.54
2020-07-07,1247.83
2020-06-07,1247.14
2020-03-07,1235.18
2020-02-07,1248.28
2020-06-30,1212.63
2020-06-29,1239.81
2020-06-26,1246.74
2020-06-25,1257.18
2020-06-23,1281.18
2020-06-22,1256.77
2020-06-19,1249.67
2020-06-18,1230.71
2020-06-17,1237.93
2020-06-16,1242.72
2020-06-15,1221.6
2020-11-06,1238.11
2020-10-06,1277.58
2020-09-06,1284.31
2020-08-06,1288.71
2020-05-06,1285.78
2020-04-06,1257.31
2020-03-06,1301.88
2020-02-06,1277.85
2020-01-06,1247.61
2020-05-29,1219.76
2020-05-28,1241.77
2020-05-27,1212.2
2020-05-26,1224.99
2020-05-25,1213.41
2020-05-22,1188.47
2020-05-21,1206.28
2020-05-20,1225.47
2020-05-19,1177.24
2020-05-18,1167.88
2020-05-15,1107.49
2020-05-14,1102.98
2020-05-13,1110.37
2020-12-05,1137.28
2020-08-05,1136.34
2020-07-05,1126.48
2020-06-05,1111.43
2020-05-05,1133.16
2020-04-05,1099.42
2020-04-30,1125.03
2020-04-29,1144.64
2020-04-28,1109.6
2020-04-27,1083.68
2020-04-24,1081.32
2020-04-23,1099.67
2020-04-22,1066.01
2020-04-21,1012.15
2020-04-20,1068.32
2020-04-17,1078.69
2020-04-16,1066.91
2020-04-15,1046.88
2020-04-14,1133.23
2020-04-13,1124.97
2020-10-04,1142.07
2020-09-04,1155.49
2020-08-04,1114.6
2020-07-04,1099.76
2020-06-04,1083.43
2020-03-04,1049.88
2020-02-04,1034.06
2020-01-04,987.75
2020-03-31,1014.44
2020-03-30,958.54
2020-03-27,955.34
2020-03-26,1017.03
2020-03-25,981.69
2020-03-24,965.32
2020-03-23,883.78
2020-03-20,924.22
2020-03-19,902.63
2020-03-18,832.26
2020-03-17,934.66
2020-03-16,966.93
2020-03-13,991.69
2020-12-03,966.4
2020-11-03,1086.18
2020-10-03,1094.18
2020-06-03,1257.96
2020-05-03,1323.82
2020-04-03,1348.19
2020-03-03,1358.03
2020-02-03,1303.47
2020-02-28,1299.69
2020-02-27,1386.2
2020-02-26,1461.22
2020-02-25,1446.11
2020-02-21,1524.71
2020-02-20,1535.81
2020-02-19,1542.08
2020-02-18,1515.54
2020-02-17,1543.25
2020-02-14,1534.89
2020-02-13,1543.5
2020-12-02,1557.44
2020-11-02,1539.56
2020-10-02,1503.95
2020-07-02,1518.23
2020-06-02,1539.42
2020-05-02,1560.48
2020-04-02,1547.19
2020-03-02,1521.16
2020-01-31,1517.07
2020-01-30,1544.55
2020-01-29,1570.65
2020-01-28,1572.23
2020-01-27,1541.9
2020-01-24,1599.82
2020-01-23,1596.11
2020-01-22,1612.87
2020-01-21,1634.32
2020-01-20,1646.6
2020-01-17,1637.75
2020-01-16,1612.72
2020-01-15,1602.29
2020-01-14,1604.96
2020-01-13,1619.73
2020-10-01,1614.69
2020-09-01,1601.74
2020-08-01,1589.08
2020-06-01,1568.35
2020-03-01,1564.18
2019-12-30,1548.92
2019-12-27,1549.4
2019-12-26,1534.85
2019-12-25,1544.12
2019-12-24,1540.46
2019-12-23,1535.0
2019-12-20,1523.77
2019-12-19,1519.49
2019-12-18,1522.51
2019-12-17,1520.6
2019-12-16,1517.16
2019-12-13,1501.42
2019-12-12,1496.96
2019-11-12,1463.15
2019-10-12,1454.23
2019-09-12,1456.79
2019-06-12,1448.34
2019-05-12,1430.39
2019-04-12,1430.03
2019-03-12,1414.06
2019-02-12,1432.81
2019-11-29,1438.45
2019-11-28,1439.18
2019-11-27,1441.08
2019-11-26,1440.95
2019-11-25,1454.63
2019-11-22,1455.42
2019-11-21,1454.74
2019-11-20,1448.4
2019-11-19,1451.64
2019-11-18,1443.02
2019-11-15,1449.42
2019-11-14,1436.98
2019-11-13,1437.85
2019-12-11,1449.35
2019-11-11,1460.84
2019-08-11,1468.17
2019-07-11,1487.03
2019-06-11,1471.38
2019-05-11,1460.5
2019-01-11,1455.44
2019-10-31,1422.92
2019-10-30,1431.9
2019-10-29,1424.05
2019-10-28,1411.92
2019-10-25,1421.2
2019-10-24,1413.63
2019-10-23,1392.47
