Date,CB_Rate
2021-03-31,4.5
2021-03-30,4.5
2021-03-29,4.5
2021-03-26,4.5
2021-03-25,4.5
2021-03-24,4.5
2021-03-23,4.5
2021-03-22,4.5
2021-03-19,4.25
2021-03-18,4.25
2021-03-17,4.25
2021-03-16,4.25
2021-03-15,4.25
2021-12-03,4.25
2021-11-03,4.25
2021-10-03,4.25
2021-09-03,4.25
2021-05-03,4.25
2021-04-03,4.25
2021-03-03,4.25
2021-02-03,4.25
2021-01-03,4.25
2021-02-26,4.25
2021-02-25,4.25
2021-02-24,4.25
2021-02-22,4.25
2021-02-20,4.25
2021-02-19,4.25
2021-02-18,4.25
2021-02-17,4.25
2021-02-16,4.25
2021-02-15,4.25
2021-12-02,4.25
2021-11-02,4.25
2021-10-02,4.25
2021-09-02,4.25
2021-08-02,4.25
2021-05-02,4.25
2021-04-02,4.25
2021-03-02,4.25
2021-02-02,4.25
2021-01-02,4.25
2021-01-29,4.25
2021-01-28,4.25
2021-01-27,4.25
2021-01-26,4.25
2021-01-25,4.25
2021-01-22,4.25
2021-01-21,4.25
2021-01-20,4.25
2021-01-19,4.25
2021-01-18,4.25
2021-01-15,4.25
2021-01-14,4.25
2021-01-13,4.25
2021-12-01,4.25
2021-11-01,4.25
2021-08-01,4.25
2021-06-01,4.25
2021-05-01,4.25
2021-04-01,4.25
2020-12-31,4.25
2020-12-30,4.25
2020-12-29,4.25
2020-12-28,4.25
2020-12-25,4.25
2020-12-24,4.25
2020-12-23,4.25
2020-12-22,4.25
2020-12-21,4.25
2020-12-18,4.25
2020-12-17,4.25
2020-12-16,4.25
2020-12-15,4.25
2020-12-14,4.25
2020-11-12,4.25
2020-10-12,4.25
2020-09-12,4.25
2020-08-12,4.25
2020-07-12,4.25
2020-04-12,4.25
2020-03-12,4.25
2020-02-12,4.25
2020-01-12,4.25
2020-11-30,4.25
2020-11-27,4.25
2020-11-26,4.25
2020-11-25,4.25
2020-11-24,4.25
2020-11-23,4.25
2020-11-20,4.25
2020-11-19,4.25
2020-11-18,4.25
2020-11-17,4.25
2020-11-16,4.25
2020-11-13,4.25
2020-12-11,4.25
2020-11-11,4.25
2020-10-11,4.25
2020-09-11,4.25
2020-06-11,4.25
2020-05-11,4.25
2020-03-11,4.25
2020-02-11,4.25
2020-10-30,4.25
2020-10-29,4.25
2020-10-28,4.25
2020-10-27,4.25
2020-10-26,4.25
2020-10-23,4.25
2020-10-22,4.25
