iter	Passed	Remaining
0	105	10432
1	216	10622
2	328	10636
3	440	10568
4	548	10413
5	657	10305
6	768	10206
7	877	10088
8	989	10003
9	1096	9869
10	1212	9808
11	1322	9701
12	1442	9652
13	1550	9525
14	1661	9417
15	1768	9287
16	1883	9195
17	1990	9069
18	2105	8977
19	2214	8856
20	2330	8766
21	2437	8641
22	2555	8557
23	2668	8451
24	2781	8343
25	2890	8227
26	3004	8123
27	3112	8004
28	3225	7896
29	3333	7777
30	3453	7685
31	3561	7568
32	3676	7463
33	3781	7339
34	3896	7235
35	4004	7119
36	4120	7015
37	4228	6898
38	4344	6795
39	4451	6677
40	4570	6576
41	4677	6459
42	4787	6346
43	4894	6228
44	5009	6122
45	5117	6007
46	5231	5899
47	5336	5781
48	5449	5671
49	5557	5557
50	5671	5448
51	5779	5335
52	5895	5228
53	6002	5112
54	6124	5011
55	6235	4899
56	6358	4796
57	6466	4682
58	6583	4574
59	6691	4461
60	6804	4350
61	6912	4236
62	7027	4127
63	7132	4012
64	7248	3902
65	7353	3788
66	7469	3678
67	7580	3567
68	7692	3455
69	7802	3343
70	7912	3231
71	8024	3120
72	8133	3008
73	8243	2896
74	8352	2784
75	8464	2673
76	8576	2561
77	8688	2450
78	8797	2338
79	8909	2227
80	9018	2115
81	9127	2003
82	9239	1892
83	9349	1780
84	9463	1670
85	9576	1558
86	9692	1448
87	9809	1337
88	9918	1225
89	10028	1114
90	10139	1002
91	10255	891
92	10368	780
93	10480	668
94	10590	557
95	10702	445
96	10813	334
97	10926	222
98	11034	111
99	11144	0
